Human;Mouse
FBXO5;Fbxo5
RACGAP1;Racgap1
PPP1R12A;Ppp1r12a
KIF20A;Kif20a
CCT8;Cct8
DHX8;Dhx8
SENP6;Senp6
TPX2;Tpx2
ANLN;Anln
SNRPA1;Snrpa1
NEK7;Nek7
BMP2;Bmp2
CDCA5;Cdca5
C1GALT1;C1galt1
CTDSPL;Ctdspl
AURKB;Aurkb
PARP14;Parp14
PHACTR3;Phactr3
PRPF8;Prpf8
BCL7B;Bcl7b
KIAA0895;9530077C05Rik
ACTN2;Actn2
HDAC6;Hdac6
CSK;Csk
GNG5;Gng5
MMP12;Mmp12
SOD1;Sod1
B4GALT1;B4galt1
CDC27;Cdc27
EEA1;Eea1
POP5;Pop5
PPP1CB;Ppp1cb
PLRG1;Plrg1
ITSN2;Itsn2
FTL;Ftl1-ps2
SLC6A2;Slc6a2
ESPL1;Espl1
OGFR;Ogfr
C11orf24;1810055G02Rik
TAPBP;Tapbp
CCT2;Cct2
PLK1;Plk1
TTYH2;Ttyh2
GATM;Gatm
KIF23;Kif23
AKAP12;Akap12
KRT23;Krt23
SF3B1;Sf3b1
CDCA8;Cdca8
SNRPF;Snrpf
INCENP;Incenp
LAD1;Lad1
SMU1;Smu1
SLU7;Slu7
KIF21B;Kif21b
NKAP;Nkap
CCT3;Cct3
ECT2;Ect2
CCT4;Cct4
KCTD10;Kctd10
MAP3K10;Map3k10
UBC;Ubc
IK;Ik
KIF11;Kif11
CEP192;Cep192
NEDD1;Nedd1
SON;Son
DDX41;Ddx41
TNPO1;Tnpo1
BAP1;Bap1
CCT7;Cct7
CIT;Cit
ANKRD2;Ankrd2
FANCC;Fancc
SF3A3;Sf3a3
CASP2;Casp2
FOXL2;Foxl2
SF3A1;Sf3a1
CAMK1;Camk1
MAGOH;Magoh
GABARAPL1;Gabarapl1
ERH;Erh
NUTF2;Nutf2-ps2
CCNA2;Ccna2
CNOT3;Cnot3
ANAPC11;Anapc11
PODN;Podn
ANKH;Ank
PSMC1;Psmc1
