Gene.identifier	RefSeq.ID	Gene.Symbol	Entrez.Gene	Alternate.Gene.Symbols	Gene.Description	X	MouseGene
ENSG00000112029	NM_012177	FBXO5	26271	EMI1, FBX5, Fbxo31	F-box protein 5 (FBXO5), mRNA.	Cell division defect	Fbxo5
ENSG00000161800	NM_013277	RACGAP1	29127	ID-GAP, HsCYK-4, MgcRacGAP	Rac GTPase activating protein 1 (RACGAP1), mRNA.	Cell division defect	Racgap1
ENSG00000058272	NM_002480	PPP1R12A	4659	MBS, MYPT1, MGC133042	protein phosphatase 1, regulatory (inhibitor) subunit 12A (PPP1R12A), mRNA.	Cell division defect	Ppp1r12a
ENSG00000112984	NM_005733	KIF20A	10112	MKLP2, FLJ21151, RAB6KIFL	kinesin family member 20A (KIF20A), mRNA.	Cell division defect	Kif20a
ENSG00000156261	NM_006585	CCT8	10694	Cctq, D21S246, KIAA0002	chaperonin containing TCP1, subunit 8 (theta) (CCT8), mRNA.	Cell division defect	Cct8
ENSG00000067596	NM_004941	DHX8	1659	DDX8, HRH1, PRP22, PRPF22	DEAH (Asp-Glu-Ala-His) box polypeptide 8 (DHX8), mRNA.	Cell division defect	Dhx8
ENSG00000112701	NM_015571	SENP6	26054	SSP1, SUSP1, FLJ11355, FLJ11887,KIAA0389, KIAA0797	SUMO1/sentrin specific peptidase 6 (SENP6), mRNA.	Cell division defect	Senp6
ENSG00000088325	NM_012112	TPX2	22974	DIL2, p100, DIL-2, HCTP4, FLS353, HCA519,REPP86, C20orf1, C20orf2, GD	TPX2, microtubule-associated, homolog (Xenopus laevis) (TPX2), mRNA.	Cell division defect	Tpx2
ENSG00000011426	NM_018685	ANLN	54443	scra, Scraps, ANILLIN, DKFZp779A055	anillin, actin binding protein (ANLN), mRNA.	Cell division defect	Anln
ENSG00000131876	NM_003090	SNRPA1	6627		small nuclear ribonucleoprotein polypeptide A' (SNRPA1), mRNA.	Cell division defect	Snrpa1
ENSG00000151414	NM_133494	NEK7	140609		NIMA (never in mitosis gene a)-related kinase 7 (NEK7), mRNA.	Cell division defect	Nek7
ENSG00000125845	NM_001200	BMP2	650	BMP2A	bone morphogenetic protein 2 (BMP2), mRNA.	Cell division defect	Bmp2
ENSG00000146670	NM_080668	CDCA5	113130	MGC16386	cell division cycle associated 5 (CDCA5), mRNA.	Cell division defect	Cdca5
ENSG00000106392	NM_020156	C1GALT1	56913	C1GALT, T-synthase	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 (C1GALT1), mRNA.	Cell division defect	C1galt1
ENSG00000144677	NM_001008392	CTDSPL	10217	PSR1, SCP3, HYA22, C3orf8	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like (CTDSPL), transcript variant 1, mRNA.	Cell division defect	Ctdspl
ENSG00000178999	NM_004217	AURKB	9212	AIK2, AIM1, ARK2, AurB, IPL1, STK5,AIM-1, STK12	aurora kinase B (AURKB), mRNA.	Cell division defect	Aurkb
ENSG00000173193	NM_017554	PARP14	54625	BAL2, KIAA1268	poly (ADP-ribose) polymerase family, member 14 (PARP14), mRNA.	Cell division defect	Parp14
ENSG00000087495	NM_183246,NM_183244	PHACTR3	116154	H17739, SCAPIN1, C20orf101, MGC117178	phosphatase and actin regulator 3 (PHACTR3), transcript variant 3, mRNA.	Cell division defect	Phactr3
ENSG00000174231	NM_006445	PRPF8	10594	PRP8, RP13, HPRP8, PRPC8	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae) (PRPF8), mRNA.	Cell division defect	Prpf8
ENSG00000106635	NM_138707	BCL7B	9275		B-cell CLL/lymphoma 7B (BCL7B), transcript variant 2, mRNA.	Cell division defect	Bcl7b
ENSG00000164542	NM_015314	KIAA0895	23366		KIAA0895 protein (KIAA0895), mRNA.	Cell division defect	9530077C05Rik
ENSG00000077522	NM_001103	ACTN2	88		actinin, alpha 2 (ACTN2), mRNA.	Cell division defect	Actn2
